# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-07 06:49:31 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01646500 POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01646500
#            TS   parameter     Description
#         69928       00060     Discharge, cubic feet per second
#         69929       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	69928_00060	69928_00060_cd	69929_00065	69929_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	01646500	2019-11-01 00:00	EDT	8990	A	3.87	A
USGS	01646500	2019-11-01 00:15	EDT	9360	A	3.91	A
USGS	01646500	2019-11-01 00:30	EDT	9640	A	3.94	A
USGS	01646500	2019-11-01 00:45	EDT	9740	A	3.95	A
USGS	01646500	2019-11-01 01:00	EDT	9740	A	3.95	A
USGS	01646500	2019-11-01 01:15	EDT	9550	A	3.93	A
USGS	01646500	2019-11-01 01:30	EDT	9270	A	3.90	A
USGS	01646500	2019-11-01 01:45	EDT	9450	A	3.92	A
USGS	01646500	2019-11-01 02:00	EDT	9360	A	3.91	A
USGS	01646500	2019-11-01 02:15	EDT	9450	A	3.92	A
USGS	01646500	2019-11-01 02:30	EDT	9640	A	3.94	A
USGS	01646500	2019-11-01 02:45	EDT	10000	A	3.98	A
USGS	01646500	2019-11-01 03:00	EDT	10700	A	4.05	A
USGS	01646500	2019-11-01 03:15	EDT	10800	A	4.06	A
USGS	01646500	2019-11-01 03:30	EDT	11600	A	4.14	A
USGS	01646500	2019-11-01 03:45	EDT	12200	A	4.20	A
USGS	01646500	2019-11-01 04:00	EDT	12600	A	4.24	A
USGS	01646500	2019-11-01 04:15	EDT	13400	A	4.31	A
USGS	01646500	2019-11-01 04:30	EDT	14000	A	4.37	A
USGS	01646500	2019-11-01 04:45	EDT	14400	A	4.41	A
USGS	01646500	2019-11-01 05:00	EDT	15000	A	4.46	A
USGS	01646500	2019-11-01 05:15	EDT	15500	A	4.50	A
USGS	01646500	2019-11-01 05:30	EDT	15800	A	4.53	A
USGS	01646500	2019-11-01 05:45	EDT	16100	A	4.56	A
USGS	01646500	2019-11-01 06:00	EDT	16500	A	4.59	A
USGS	01646500	2019-11-01 06:15	EDT	16700	A	4.61	A
USGS	01646500	2019-11-01 06:30	EDT	17000	A	4.63	A
USGS	01646500	2019-11-01 06:45	EDT	17100	A	4.64	A
USGS	01646500	2019-11-01 07:00	EDT	17200	A	4.65	A
USGS	01646500	2019-11-01 07:15	EDT	17100	A	4.64	A
USGS	01646500	2019-11-01 07:30	EDT	17200	A	4.65	A
USGS	01646500	2019-11-01 07:45	EDT	17300	A	4.66	A
USGS	01646500	2019-11-01 08:00	EDT	17200	A	4.65	A
USGS	01646500	2019-11-01 08:15	EDT	17200	A	4.65	A
USGS	01646500	2019-11-01 08:30	EDT	17200	A	4.65	A
USGS	01646500	2019-11-01 08:45	EDT	17200	A	4.65	A
USGS	01646500	2019-11-01 09:00	EDT	17000	A	4.63	A
USGS	01646500	2019-11-01 09:15	EDT	17100	A	4.64	A
USGS	01646500	2019-11-01 09:30	EDT	16900	A	4.62	A
USGS	01646500	2019-11-01 09:45	EDT	16900	A	4.62	A
USGS	01646500	2019-11-01 10:00	EDT	16900	A	4.62	A
USGS	01646500	2019-11-01 10:15	EDT	16900	A	4.62	A
USGS	01646500	2019-11-01 10:30	EDT	16900	A	4.62	A
USGS	01646500	2019-11-01 10:45	EDT	16600	A	4.60	A
USGS	01646500	2019-11-01 11:00	EDT	16700	A	4.61	A
USGS	01646500	2019-11-01 11:15	EDT	16700	A	4.61	A
USGS	01646500	2019-11-01 11:30	EDT	17000	A	4.63	A
USGS	01646500	2019-11-01 11:45	EDT	17100	A	4.64	A
USGS	01646500	2019-11-01 12:00	EDT	17100	A	4.64	A
USGS	01646500	2019-11-01 12:15	EDT	17200	A	4.65	A
USGS	01646500	2019-11-01 12:30	EDT	17500	A	4.67	A
USGS	01646500	2019-11-01 12:45	EDT	17600	A	4.68	A
USGS	01646500	2019-11-01 13:00	EDT	17700	A	4.69	A
USGS	01646500	2019-11-01 13:15	EDT	18100	A	4.72	A
USGS	01646500	2019-11-01 13:30	EDT	18100	A	4.72	A
USGS	01646500	2019-11-01 13:45	EDT	18400	A	4.75	A
USGS	01646500	2019-11-01 14:00	EDT	18600	A	4.76	A
USGS	01646500	2019-11-01 14:15	EDT	18900	A	4.79	A
USGS	01646500	2019-11-01 14:30	EDT	19200	A	4.81	A
USGS	01646500	2019-11-01 14:45	EDT	19300	A	4.82	A
USGS	01646500	2019-11-01 15:00	EDT	19400	A	4.83	A
USGS	01646500	2019-11-01 15:15	EDT	19700	A	4.85	A
USGS	01646500	2019-11-01 15:30	EDT	20100	A	4.88	A
USGS	01646500	2019-11-01 15:45	EDT	19900	A	4.87	A
USGS	01646500	2019-11-01 16:00	EDT	20200	A	4.89	A
USGS	01646500	2019-11-01 16:15	EDT	20300	A	4.90	A
USGS	01646500	2019-11-01 16:30	EDT	20600	A	4.92	A
USGS	01646500	2019-11-01 16:45	EDT	20600	A	4.92	A
USGS	01646500	2019-11-01 17:00	EDT	20700	A	4.93	A
USGS	01646500	2019-11-01 17:15	EDT	20900	A	4.94	A
USGS	01646500	2019-11-01 17:30	EDT	21000	A	4.95	A
USGS	01646500	2019-11-01 17:45	EDT	21100	A	4.96	A
USGS	01646500	2019-11-01 18:00	EDT	21100	A	4.96	A
USGS	01646500	2019-11-01 18:15	EDT	21100	A	4.96	A
USGS	01646500	2019-11-01 18:30	EDT	21100	A	4.96	A
USGS	01646500	2019-11-01 18:45	EDT	21100	A	4.96	A
USGS	01646500	2019-11-01 19:00	EDT	21100	A	4.96	A
USGS	01646500	2019-11-01 19:15	EDT	21100	A	4.96	A
USGS	01646500	2019-11-01 19:30	EDT	21000	A	4.95	A
USGS	01646500	2019-11-01 19:45	EDT	21000	A	4.95	A
USGS	01646500	2019-11-01 20:00	EDT	20700	A	4.93	A
USGS	01646500	2019-11-01 20:15	EDT	20700	A	4.93	A
USGS	01646500	2019-11-01 20:30	EDT	20600	A	4.92	A
USGS	01646500	2019-11-01 20:45	EDT	20600	A	4.92	A
USGS	01646500	2019-11-01 21:00	EDT	20300	A	4.90	A
USGS	01646500	2019-11-01 21:15	EDT	20300	A	4.90	A
USGS	01646500	2019-11-01 21:30	EDT	20200	A	4.89	A
USGS	01646500	2019-11-01 21:45	EDT	20100	A	4.88	A
USGS	01646500	2019-11-01 22:00	EDT	19900	A	4.87	A
USGS	01646500	2019-11-01 22:15	EDT	19900	A	4.87	A
USGS	01646500	2019-11-01 22:30	EDT	19900	A	4.87	A
USGS	01646500	2019-11-01 22:45	EDT	19800	A	4.86	A
USGS	01646500	2019-11-01 23:00	EDT	19700	A	4.85	A
