source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter Web Client,Pres. Bill Clinton 5.31.12: "@MittRomney had a sterling business career.",06-01-2012 19:29:31,94,14,false,208641445660327937
TwitLonger Beta,Is Roger Simon @politicoroger ever right about anything? Now he's attacking @BillClinton in defense of (cont) http://t.co/NPsNOsue,06-06-2012 15:05:18,26,5,false,210386891583918082
Twitter Web Client,.@BillClinton was very nice to me as I am to him on the Piers Morgan Show (CNN). He is loyal to his friends. @piersmorgan,06-06-2012 15:10:14,966,562,false,210388131432759298
Twitter Web Client,Wife Huma wants @RepWeiner to "pull a @billclinton by giving a tell-all interview." Unlike Clinton Anthony is a sick puppy.,07-16-2012 16:24:22,211,154,false,224902302316769280
Twitter Web Client,I hope Bill Clinton and NEWSMAX's Chris Ruddy are enjoying their mission to Africa. Two great people.,07-19-2012 19:27:12,617,361,false,226035479596896256
Twitter Web Client,Smart move by the Democrats to have Pres. @billclinton play a key role in their convention.,07-30-2012 19:01:16,2846,2158,false,230015217873076224
TwitLonger Beta,Chelsea Clinton will be very successful in the world of politics. She's always been a great person--a winner. (cont) http://t.co/8t01tOfl,08-16-2012 13:19:16,1488,1044,false,236089746307301376
Twitter Web Client,Smart move by @BarackObama having Pres. Bill Clinton deliver the @DNC convention keynote.,09-04-2012 19:48:58,1402,1025,false,243073186873372672
Twitter Web Client,Bill Clinton did a great job last night--the Democrats are lucky to have him. Do you really believe he likes @BarackObama?,09-06-2012 13:51:44,1445,773,false,243708062358183936
Twitter Web Client,The Chinese are mistreating Hillary Clinton on her trip http://t.co/T5xzkNuL  They have zero respect for us. Outrageous!,09-06-2012 19:27:17,211,39,false,243792507358556160
Twitter Web Client,I really like Chelsea Clinton--an amazing young woman. She got the best of both parents. (@IvankaTrump agrees),09-21-2012 15:54:27,8290,7435,false,249174762985766912
Twitter Web Client,Bill Clinton has been Obama's most effective surrogate out on the trail.,10-04-2012 18:52:50,233,82,false,253930695955730432
Twitter Web Client,Obama keeps namedropping Bill Clinton-- he is no Bill Clinton.,10-17-2012 02:12:24,1762,715,false,258389970090340353
Twitter Web Client,Clinton commented in Ohio today that @MittRomney is right the economy has not been fixed under Obama.I always said Bill was an honest man.,10-18-2012 19:25:39,1119,271,false,259012383824039936
Twitter Web Client,@NeanderthalMan1 @MittRomney  I was referring of course to Bill Clinton's statement on the economy.,10-18-2012 20:44:35,2,2,false,259032248697905152
Facebook,Virtually all Presidents and candidates including John McCain Bill Clinton George H.W. Bush and George W. Bush... http://t.co/V6VJbfzt,10-24-2012 19:49:39,207,92,false,261192751935279104
Twitter Web Client,Great to see Sec. Clinton leaving the hospital yesterday with @ChelseaClinton and Pres. Clinton.  Glad she is recuperating.,01-03-2013 20:37:26,138,98,false,286934315156258816
Twitter for Android,"@andrewtavani: .@billclinton &amp; @GovChristie 1st met at wedding of @realDonaldTrump when Christie was US attorney in the Bush admin."  TRUE,06-15-2013 13:15:40,26,15,false,345892362209353729
Twitter for Android,"@MysticWolf12001: @realDonaldTrump C'mon you KNOW you're the only one capable of beating Clinton",08-14-2013 03:23:06,11,13,false,367486510884716544
Twitter Web Client,John McCain couldn’t get him to release “it” and neither could Hillary Clinton—but Donald did!,08-22-2013 20:42:01,96,118,false,370647067204403201
Twitter Web Client,@Miranda_Diplo              "I like Hilary Clinton. She is very admirable. But @realDonaldTrump is our nation's answer." Thanks.,09-23-2013 20:58:27,18,8,false,382247612914483201
Twitter Web Client,@DanScavino @APinv @TrumpGolf @billclinton @APHospital  Thanks Dan,03-19-2014 21:08:15,9,10,false,446392731158732800
Twitter for Android,"@JoshBurrnett: If Hilary Clinton runs for office. @realDonaldTrump HAS TOO. Or I'm moving to canada",06-16-2014 06:29:18,42,53,false,478424058527105024
Twitter for Android,"@MichaelSad6: @tonymission @Saran_arsh @realDonaldTrump I think Trump vs Clinton would be huge",10-11-2014 04:51:15,21,50,false,520798762068086785
Twitter for Android,"@kvstravel: @realDonaldTrump as I watch the news Mr. Trump I'm thinking I hope America has had enough of clinton&amp;bush as potus",12-03-2014 02:35:28,15,36,false,539971147132321792
Twitter for Android,"@dxdelafu: RT @realDonaldTrump: THE LAST THING THIS COUNTRY NEEDS IS ANOTHER BUSH! Or another Clinton.",12-18-2014 08:43:41,52,74,false,545499630130446336
Twitter Web Client,A Clinton already defeated a Bush. The definition of insanity is doing the same thing twice &amp; expecting a different result.,12-19-2014 19:45:37,261,360,false,546028597719597057
Twitter for Android,"@liquidkowboy: @realDonaldTrump We need someone to make America America again.You have my vote for 2016 #2016Election #USA #NoMoreClintons,12-24-2014 03:38:52,23,50,false,547597247144554496
Twitter for Android,"@mooovin_on: No Bush no Clinton no RINOs no golfing no more handouts!! It's got to be @realDonaldTrump. Time for #Trump2016",12-24-2014 22:09:07,39,85,false,547876653175566336
Twitter for Android,"@TpGraf82: @realDonaldTrump great job on @foxandfriends we need you or we will be stuck with another #clinton",12-29-2014 12:29:23,3,16,false,549542695086338048
Twitter Web Client,Where’s the electability? Jeb is losing to HRC by 13 points. A Bush will never beat a Clinton. Wake up @GOP!,12-30-2014 21:24:24,139,189,false,550039726510850048
Twitter for Android,"@therightnewz: Video-- @realDonaldTrump to @greta : Jeb won't beat Hillary Clinton",01-27-2015 02:22:51,8,31,false,559899304715104256
Twitter for Android,"@WillAA99: @realDonaldTrump For The Love of The United States of America don't let another Bush or Clinton in Office! Run Donald Trump Run!,03-18-2015 14:12:30,48,89,false,578197286662103040
Twitter for Android,"@johnny4arizona: Dream Debate 4 #Election2016 Clinton vs Trump: Trump would be FIRED UP and Hillary would be NOT HIRED !!! #Trump2016",03-25-2015 06:57:06,23,50,false,580624428989595648
Twitter for Android,"@JordanPolitics: Could it be @HillaryClinton v @realDonaldTrump for POTUS? #Hillary2016 #Trump2016",04-11-2015 04:39:40,16,39,false,586750439393136640
Twitter for Android,"@SoyerJanis:  @realDonaldTrump  @boris3324 Don't be so insecure because you KNOW @HillaryClinton will lose against Trump,04-12-2015 19:48:35,15,50,false,587341564025929730
Twitter for Android,"@Chris_Owens1213: I would love to see how upset @HillaryClinton would get if she were in a debate against @realDonaldTrump.,04-12-2015 19:52:29,50,103,false,587342542670290944
Twitter for Android,"@ShaneJoseph: Can @realDonaldTrump please run for president just so I can watch him and @HilaryClinton debate. #goodTV",04-12-2015 20:05:11,24,77,false,587345740772552705
Twitter for Android,"@sarzitron: The best part about @realDonaldTrump running for president will be @HillaryClinton losing. I hate her so much.",04-12-2015 20:07:06,48,83,false,587346221657939968
Twitter for Android,"@KnucklDraginSam: @realDonaldTrump @Chris_Owens1213 @HillaryClinton Yeah first question list your major accomplishments.  #Trump4Prez",04-12-2015 20:08:53,13,34,false,587346671782252545
Twitter for Android,"@Retume: I would vote @realDonaldTrump over @HillaryClinton.,04-12-2015 20:10:53,28,72,false,587347173819449347
Twitter for Android,"@Purplite: Will it be @HilaryClinton against @realDonaldTrump ? Come on Donald everyone's waiting.",04-12-2015 20:16:13,22,65,false,587348517263384577
Twitter for Android,"@MKBeattie: @realDonaldTrump vs @HillaryClinton for the White House would make for awesome debates!",04-12-2015 20:21:54,45,76,false,587349946971590656
Twitter for Android,"@MKBeattie: @realDonaldTrump vs @HillaryClinton for the White House would make for awesome debates!" I agree!,04-12-2015 22:14:00,20,58,false,587378159458344961
Twitter for Android,"@pete_is_king: @PICA_59 @realDonaldTrump is he running? If he is @HillaryClinton might as well not even run.",04-12-2015 22:29:53,15,39,false,587382156973965313
Twitter for Android,"@ClintonIYH: If the Republicans are serious about stopping Hillary... They really need to nominate @realDonaldTrump" I agree!,04-12-2015 23:27:55,26,98,false,587396760013799426
Twitter for Android,"@MrMet41: @rosannascotto @HillaryClinton @realDonaldTrump The Donald gets things done #Trump2016",04-13-2015 12:11:54,6,26,false,587589024602316800
Instagram,#TrumpVlog Trouble in paradise for Clintons- https://t.co/RlJvPxuVvh,04-21-2015 17:34:24,34,50,false,590569284985868288
Twitter for Android,"@UsuallyBogey: Without @realDonaldTrump we will be stuck with Hilary Clinton. #Trump2016" I agree.,04-23-2015 13:05:22,15,35,false,591226354680602624
Twitter for Android,"@AP_Politics: Campaigning in New Hampshire Hillary Clinton says the US economy has 'stalled out.' http://t.co/g6PnF0IV9c",04-24-2015 01:25:25,15,24,false,591412595871117313
Twitter for Android,"@Jackson_Tweets: @realDonaldTrump you will cream Hillary Clinton in a debate!" I create jobs and build but should be able to do just fine!,04-25-2015 15:10:31,25,40,false,591982627906842624
Twitter for Android,"@AndyBran: @foxandfriends all of the Clinton graft is uncovered by a writer? No agency tracks this type of theft?Out of control",04-27-2015 12:39:15,20,24,false,592669335463821312
Twitter for Android,"@jorgey1_1985: @realDonaldTrump if you don't run then HilaryClinton Will WIN and become president no good candidates on republicans side",05-01-2015 19:01:16,15,40,false,594215024127684608
Twitter for Android,"@SlimShiny82: Never been more excited for a potential candidate as I am with DonaldTrump He is the only person who can beat HillaryClinton",05-01-2015 19:45:17,14,38,false,594226100965744641
Twitter for Android,"@steveman905: @realDonaldTrump You really need to commit to a presidential run. You can beat Clinton!"  The only one that can!,05-05-2015 02:18:53,25,73,false,595412315945750528
Twitter Web Client,My @bostonherald interview on Tom Brady Hillary Clinton the Granite State &amp; Making America Great Again! https://t.co/Qy1J7TilAu,05-12-2015 20:35:30,59,77,false,598225004258533376
Twitter for Android,"@davesportsgod: @AngieBatlle @realDonaldTrump @HillaryClinton After McCain and Romney someone with an actual backbone would be refreshing.,05-15-2015 01:19:27,11,49,false,599021238095319041
Twitter for Android,"@derbitteractor: @realDonaldTrump sen. hillary clinton voted for the war",05-18-2015 10:13:17,14,28,false,600242748332101632
Twitter for Android,"@STL_Blonde: I believe ... no I KNOW that @realDonaldTrump would be a better president than HillaryClinton.",06-06-2015 04:35:09,24,73,false,607043020324773888
Twitter for Android,"@cdgrafics: @greta @realDonaldTrump I'd vote for him and his morals are a lot healthier the Bill Clintons. He knows Business and con men.",06-06-2015 04:49:44,10,44,false,607046694396678145
Twitter for Android,"@ToryIreland: @realDonaldTrump ONLY #TRUMP2016 has what it takes to STOP Hillary Rodham Clinton! StopHillary #NoBama http://t.co/I9HHjCp1OI,06-13-2015 01:01:39,232,377,false,609526009940082688
Instagram,Hillary Clinton reaches new low. #TrumpVlog https://t.co/kgmQ2jVF6b,06-19-2015 14:42:45,285,410,false,611906972586262528
Twitter for Android,"@andrewwagner29: Its pretty clear that @realDonaldTrump would absolutely destroy HillaryClinton in a debate &amp; i really wanna see it happen.,06-20-2015 23:09:29,249,573,false,612396884943089664
Twitter Web Client,"Hillary Clinton Dominates the Pack in Fake Twitter Followers" http://t.co/e16f6FM8uQ,06-22-2015 14:39:02,202,299,false,612993201046179841
Twitter for Android,"@DanielaMarino: @FoxNews enough with #Bush #Clinton and the same faces every damn year. We need fresh new ppl that r not greedy. U r d one",06-25-2015 03:08:31,107,276,false,613906588869468160
Twitter Web Client,Via @trscoop: “Mark Levin DEFENDS Trump: Hillary Clinton is a CROOK and a FRAUD and she’s not treated this way!” http://t.co/MdU0pvTThi,07-02-2015 18:20:10,422,504,false,616672730319069185
Twitter for Android,"@kobuck12: @realDonaldTrump Donald Trump runs to help America become great again. You know he's not doing it to enrich himself like Clinton,07-03-2015 09:36:50,159,359,false,616903414287568896
Twitter Web Client,Via @businessinsider by @hunterw: “TRUMP UNLOADS: Hillary Clinton was 'the worst' and is 'extremely bad'” http://t.co/lPGSlczakP,07-08-2015 17:31:33,376,573,false,618834822375579648
Twitter for iPhone,Can you envision Jeb Bush or Hillary Clinton negotiating with 'El Chapo' the Mexican drug lord who escaped from prison? ....,07-13-2015 00:25:37,5344,4370,false,620388576765870081
Twitter Web Client,"@bdean1468 @jlangdale @realDonaldTrump @HillaryClinton @CNN SAY IT LOUD &amp; SAY IT PROUD - - WE WANT TRUMP!!!!!!",07-13-2015 15:55:50,370,879,false,620622673522114561
Twitter Web Client,Response to Hillary Clinton- http://t.co/nzYfehyURa,07-14-2015 14:42:03,538,818,false,620966492667047936
Twitter Web Client,"@Britinnv @realDonaldTrump Would the people of US prefer a liar @HillaryClinton or a man that speaks the truth and facts!! No Brainer hey!",07-14-2015 16:57:11,872,1817,false,621000497974149120
Twitter for iPhone,I had thousands join me in New Hampshire last night! @HillaryClinton had 68. The #SilentMajority is fed up with what is going on in America!,07-17-2015 16:36:57,1894,3796,false,622082571816538112
Twitter Web Client,It's going to take an outsider to clean up after Clinton Bush and Obama. Let's Make America Great Again! https://t.co/u25yI5T7E8,07-22-2015 19:34:19,1492,2790,false,623939145992421376
Twitter for Android,"@USARestoring: @HillaryClinton's toast. Dems had better get the"B Team" off the bench. @TGowdySC for Attorney General under President Trump,07-28-2015 03:23:26,3266,5018,false,625869142592212992
Twitter Web Client,Per @rushlimbaugh: Why does Hillary Clinton get the benefit of the doubt (after she DESTROYS her illegal email server) ...,07-29-2015 20:54:45,1932,2807,false,626496102754328576
Twitter for Android,"@ctmommy: @megynkelly #KellyFile #WTF? You do realize @realDonaldTrump isn’t the #GOP enemy - @HillaryClinton is.",08-04-2015 23:18:46,348,798,false,628706675315359744
Twitter for Android,"@Women4Trump: @realDonaldTrump @SemiNoland Yup. And Clinton's leaked meeting with The Donald because they are skeered of all his support.",08-06-2015 00:17:44,184,568,false,629083899554041856
Twitter for Android,"@FoxNews: .@Rub: @jorgeramosnews should've disclosed his daughter works for HillaryClinton &amp; Univision is being sued by @realDonaldTrump.",08-28-2015 00:20:28,1952,2560,false,637057122933571584
Twitter for Android,"@jp_sitles: @realDonaldTrump HillaryClinton: she compared republicans to terrorist but will not call terrorists  terrorists. #OhMe",08-28-2015 01:52:56,2869,4725,false,637080393410310144
Twitter for Android,Huma Abedin the top aide to Hillary Clinton and the wife of perv sleazebag Anthony Wiener was a major security risk as a collector of info,08-31-2015 11:52:44,9208,11777,false,638318502059880450
Twitter for Android,150 Clinton E-mails still contain classified information. More sensitive when she was Sec.of State. This is a very big deal.,09-01-2015 00:43:46,2706,5709,false,638512537433149440
Twitter Web Client,No more Clintons or Bushes! https://t.co/bHz4Etnhw7,09-01-2015 19:26:30,2542,4073,false,638795082154549248
Twitter for Android,Hillary Clinton made a speech today using the biggest teleprompter I have ever seen. In fact it wasn't even see through glass it was black,09-05-2015 21:36:41,2266,3811,false,640277396785119232
Twitter for Android,"@PressTV: Poll: Trump beats Clinton head-to-head matchup http://t.co/ZRndXNN67K http://t.co/bkzQolegeo"  Thank you!,09-06-2015 11:28:48,1791,3647,false,640486804139954176
Twitter for Android,"@Dis_labeledVet: @realDonaldTrump here is a Clinton insider who admitted Hillary started the whole Obama's a Muslim https://t.co/UqkW16u3Kz,09-21-2015 12:37:45,1148,1608,false,645939976115494912
Twitter for Android,Just remember the birther movement was started by Hillary Clinton in 2008. She was all in!,09-23-2015 02:16:44,2606,4477,false,646508464085311488
Twitter for Android,"@scottferson: .@TaranKillam plays a way better fake @realDonaldTrump than a real @HillaryClinton plays herself @nbcsnl",10-04-2015 04:08:06,619,1545,false,650522759764779012
Twitter for Android,"@DGrant39107133: @nathanpaul1975 Clinton may go to jail but is still running for president? 99% of people would be in jail for what she did,10-04-2015 20:49:29,1908,3400,false,650774765792292864
Twitter Web Client,Very honored: "Trump Is Tops As Clinton Drops In Connecticut Primaries Quinnipiac University Poll Finds"     http://t.co/6d8WiLa8fB,10-13-2015 13:35:29,1298,2372,false,653927034582925312
Twitter for Android,The hardest thing Clinton has to do is defend her bad decision making including Iraq vote e-mails etc.,10-14-2015 01:54:05,2804,7333,false,654112910923403264
Twitter for Android,"@ObamaTax: After @hillaryclinton poor performance waffling in debates @Teamsters14 should support @realDonaldTrump",10-14-2015 02:35:51,1045,2592,false,654123422969122818
Twitter for iPhone,.@HillaryClinton is on the front page of the @nytimes waving to 200 people in New Hampshire. My crowd next door was 5000 people – no pic!,10-17-2015 14:47:38,3082,6427,false,655394746630844416
Twitter Web Client,Bill Clinton wants to #MakeAmericaGreatAgain https://t.co/rVOZHzrlEB,10-20-2015 18:58:31,1346,2453,false,656545044896288768
Twitter for Android,"@dcexaminer: Rasmussen: @realDonaldTrump now beats @HillaryClinton 38%-36% nationally https://t.co/NuNulI0Voi https://t.co/1BAPAKad62",10-21-2015 11:13:23,1257,2289,false,656790380550180864
Twitter for Android,"@Tony_Leers: Hillary Clinton is a deceitful career politician Donald Trump is a no-nonsense billionaire businesses man...pick one..",10-24-2015 10:54:01,1431,3370,false,657872668063059968
Twitter for Android,"@HankCampbell: Democrats seem to be more interested in Donald Trump than Hillary Clinton.,10-24-2015 23:35:19,1202,2741,false,658064257280581633
Twitter for Android,"@curtismuddog:  @ByronYork Latest Poll shows Donald Trump winning 70% of Electoral Vote Against Hillary Clinton! https://t.co/OT98Y8f0GE",10-25-2015 19:21:35,1857,3020,false,658362790717947904
Twitter for Android,"@truthinvest: @ChrisChristie @HillaryClinton good job for Christie last night.Maybe he will face her 8 yrs from now after @realDonaldTrump",10-29-2015 13:00:08,423,1213,false,659716346159042560
Twitter for Android,"@JackDix03868724: Arizona polls for Democrats only say they would prefer Donald Trump over Hillary Clinton 60%",10-31-2015 03:52:11,954,1962,false,660303227653660673
Twitter for Android,Black Lives Matter protesters totally disrupt Hillary Clinton event. She looked lost. This is not what we need with ISIS CHINA RUSSIA etc.,10-31-2015 11:27:02,2261,4570,false,660417693758156800
Twitter for Android,"@jak00seven: If you like how @HillaryClinton handled #Benghazi then you'll just ♥ her as Commander-in-Chief  #MakeAmericaGreatAgain",11-07-2015 19:42:05,1107,2220,false,663078991256002561
Twitter for Android,"@redletter99: @realDonaldTrump I absolutely love this can't wait till u debate Clinton",11-15-2015 03:25:53,855,2422,false,665732426837204992
Twitter for Android,"@davenorthYV: Does anybody ever realize that HillaryClinton doesn't make eye contact with anyone even the camera. That's a sign of lying",11-16-2015 00:25:54,2205,5722,false,666049518295605249
Twitter for iPhone,.@HillaryClinton is weak on illegal immigration &amp; totally incompetent as a manager and leader - no strength or stamina to be #POTUS!,11-20-2015 21:38:57,2257,5094,false,667819443196588032
Twitter for Android,Great poll numbers all over and beating Hillary Clinton one on one. Thank you!,11-22-2015 14:50:56,2514,7548,false,668441539643899905
Twitter for Android,"@jakub_lisa:  @HillaryClinton A Clinton Cannot be trusted!How many x's do we allow them to disgrace this country? #NoClintonInWHEverAgain",11-22-2015 20:06:04,1152,2638,false,668520845028040704
Twitter for Android,Hillary Clinton is weak on illegal immigration among many other things. She is strong on corruption - corruption is what she's best at!,11-22-2015 22:56:56,6655,13142,false,668563843904380928
Twitter for iPhone,It was recently reported that 3rd rate $ losing @Politico is a foil for the Clintons. Questions given to Clinton in advance. No credibility.,12-03-2015 19:31:13,1076,2394,false,672498342656634880
Twitter for Android,"@nepafortrump: @CwiseCwise1 @iliveamongyou @pennybishop16 @GOP #TeamTrumpPA WILL TURN PA from Clinton Blue to TRUMP RED! Team WONT STOP,12-05-2015 03:36:08,785,2000,false,672982761033097216
Twitter for Android,The last person corrupt Hillary Clinton wants to run against is Donald J. Trump. I'll end up beating her in every state. New Fox Poll-Trump!,12-09-2015 13:14:17,2682,6433,false,674577809877147648
Twitter for Android,Hillary Clinton does not have the STRENGTH or STAMINA to be President. We need strong and super smart for our next leader - or trouble!,12-09-2015 13:17:21,3849,9326,false,674578580681134080
Twitter Web Client," Haim Saban: Hillary Clinton’s Top Hollywood Donor Demands Racial Profiling of Muslims"   https://t.co/d99X4O9ysG,12-09-2015 20:33:53,2169,3577,false,674688436863950848
Twitter for Android,"@piersmorgan: Donald Trump vs Hillary Clinton would be the greatest presidential battle in history.",12-15-2015 07:00:21,1335,3668,false,676658032630104064
Twitter for Android,Hillary Clinton is weak and ineffective - no strength no stamina.,12-16-2015 15:29:30,5988,12686,false,677148554503127040
Twitter for Android,Hillary Clinton lied when she said that "ISIS is using video of Donald Trump as a recruiting tool." This was fact checked by @FoxNews: FALSE,12-20-2015 09:05:41,4676,9582,false,678501512088297478
Twitter for Android,Hillary Clinton spokesperson admitted that their was no ISIS video of me. Therefore Hillary LIED at the debate last night. SAD!,12-20-2015 23:37:15,5813,11941,false,678720849336250369
Twitter for Android,I demand an apology from Hillary Clinton for the disgusting story she made up about me for purposes of the debate. There never was a video.,12-21-2015 11:51:04,4509,9646,false,678905519797575680
Twitter for Android,Just out: TRUMP GOP DEBATE - 18000000. CLINTON DEMOCRAT DEBATE - 6700000. And they were on major network vs. cable!,12-21-2015 12:52:56,2643,6847,false,678921089565749248
Twitter for Android,Do you think that Hillary Clinton will apologize to me for the lie she told about "the video" of me being used by ISIS. There is no video.,12-21-2015 18:51:21,3158,8461,false,679011289914568704
Twitter for Android,When I said that Hillary Clinton got schlonged by Obama it meant got beaten badly. The media knows this. Often used word in politics!,12-23-2015 03:37:51,10157,17704,false,679506175239532545
Twitter for Android,The Hillary Clinton staged event yesterday was pathetic. Be careful Hillary as you play the war on women or women being degraded card.,12-23-2015 14:20:57,3376,7787,false,679668017505144833
