Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,av
1880,-0.29,-0.2,-0.17,-.27,-.13,-.28,-.23,-.07,-.16,-.15,-.18,-.21,-.19,***,***,-.19,-.19,-.16,-0.19499999999999998
1881,-0.1,-0.13,0.02,-.02,-.03,-.27,-.05,-.01,-.08,-.18,-.25,-.15,-.11,-.11,-.15,-.01,-.11,-.17,-0.10416666666666667
1882,0.11,0.1,0.03,-.19,-.17,-.24,-.10,.04,.00,-.22,-.20,-.24,-.09,-.08,.02,-.11,-.10,-.14,-0.09000000000000001
1883,-0.33,-0.41,-0.17,-.23,-.24,-.11,-.08,-.12,-.17,-.11,-.19,-.18,-.19,-.20,-.33,-.22,-.10,-.16,-0.19500000000000006
1884,-0.18,-0.1,-0.33,-.35,-.30,-.37,-.33,-.24,-.22,-.21,-.29,-.28,-.27,-.26,-.15,-.33,-.31,-.24,-0.26666666666666666
1885,-0.64,-0.29,-0.23,-.43,-.41,-.49,-.28,-.27,-.18,-.18,-.21,-.05,-.31,-.32,-.40,-.36,-.35,-.19,-0.305
1886,-0.42,-0.45,-0.4,-.29,-.26,-.38,-.15,-.30,-.18,-.24,-.25,-.24,-.30,-.28,-.30,-.32,-.28,-.23,-0.2966666666666667
1887,-0.65,-0.47,-0.3,-.36,-.32,-.19,-.18,-.26,-.19,-.31,-.25,-.37,-.32,-.31,-.46,-.33,-.21,-.25,-0.32083333333333336
1888,-0.42,-0.41,-0.47,-.28,-.22,-.20,-.09,-.10,-.07,.02,.00,-.12,-.20,-.22,-.40,-.32,-.13,-.02,-0.19666666666666666
1889,-0.2,0.15,0.05,.05,-.02,-.11,-.04,-.17,-.17,-.21,-.30,-.30,-.11,-.09,-.06,.03,-.11,-.23,-0.10583333333333333
1890,-0.47,-0.48,-0.4,-.37,-.47,-.27,-.29,-.35,-.35,-.22,-.36,-.30,-.36,-.36,-.42,-.42,-.30,-.31,-0.3608333333333334
1891,-0.46,-0.5,-0.14,-.25,-.17,-.21,-.22,-.21,-.13,-.23,-.37,-.02,-.24,-.26,-.42,-.19,-.21,-.24,-0.24250000000000002
1892,-0.25,-0.14,-0.36,-.34,-.24,-.19,-.27,-.19,-.25,-.16,-.49,-.28,-.26,-.24,-.14,-.31,-.22,-.30,-0.26333333333333336
1893,-0.68,-0.51,-0.23,-.32,-.35,-.24,-.14,-.23,-.18,-.16,-.16,-.37,-.30,-.29,-.49,-.30,-.20,-.17,-0.29750000000000004
1894,-0.55,-0.31,-0.2,-.41,-.30,-.43,-.31,-.28,-.22,-.16,-.24,-.21,-.30,-.32,-.41,-.30,-.34,-.21,-0.3016666666666667
1895,-0.43,-0.41,-0.28,-.22,-.22,-.24,-.16,-.15,-.01,-.10,-.15,-.11,-.21,-.22,-.35,-.24,-.19,-.09,-0.20666666666666664
1896,-0.22,-0.14,-0.29,-.32,-.19,-.14,-.06,-.09,-.04,.04,-.15,-.11,-.14,-.14,-.16,-.27,-.09,-.05,-0.1425
1897,-0.22,-0.18,-0.12,-.01,.00,-.12,-.04,-.03,-.04,-.09,-.16,-.24,-.10,-.09,-.17,-.04,-.06,-.10,-0.10416666666666667
1898,-0.06,-0.32,-0.55,-.33,-.35,-.21,-.22,-.23,-.18,-.31,-.36,-.21,-.28,-.28,-.21,-.41,-.22,-.28,-0.2775
1899,-0.17,-0.39,-0.33,-.20,-.20,-.25,-.14,-.04,-.01,.00,.13,-.26,-.16,-.15,-.26,-.24,-.14,.04,-0.155
1900,-0.39,-0.07,0.03,-.14,-.05,-.14,-.08,-.03,.02,.09,-.12,-.13,-.08,-.09,-.24,-.05,-.08,.00,-0.08416666666666668
1901,-0.28,-0.05,0.06,-.05,-.17,-.09,-.08,-.12,-.15,-.28,-.15,-.27,-.14,-.12,-.15,-.05,-.10,-.19,-0.13583333333333333
1902,-0.18,-0.03,-0.28,-.28,-.31,-.33,-.24,-.27,-.20,-.27,-.35,-.45,-.27,-.25,-.16,-.29,-.28,-.27,-0.26583333333333337
1903,-0.27,-0.06,-0.21,-.39,-.41,-.44,-.29,-.42,-.41,-.40,-.38,-.46,-.35,-.34,-.26,-.34,-.38,-.40,-0.345
1904,-0.63,-0.54,-0.45,-.49,-.50,-.48,-.48,-.43,-.46,-.35,-.16,-.29,-.44,-.45,-.54,-.48,-.47,-.32,-0.4383333333333333
1905,-0.38,-0.58,-0.24,-.36,-.33,-.31,-.24,-.20,-.14,-.24,-.09,-.21,-.28,-.28,-.42,-.31,-.25,-.16,-0.27666666666666667
1906,-0.3,-0.32,-0.15,-.03,-.21,-.21,-.26,-.18,-.25,-.20,-.38,-.18,-.22,-.22,-.28,-.13,-.22,-.28,-0.2225
1907,-0.43,-0.51,-0.23,-.39,-.46,-.43,-.35,-.36,-.32,-.24,-.51,-.50,-.39,-.37,-.37,-.36,-.38,-.36,-0.3941666666666666
1908,-0.45,-0.35,-0.57,-.46,-.40,-.39,-.35,-.45,-.33,-.43,-.50,-.49,-.43,-.43,-.44,-.48,-.40,-.42,-0.4308333333333334
1909,-0.69,-0.46,-0.51,-.58,-.53,-.51,-.42,-.29,-.37,-.38,-.31,-.54,-.47,-.46,-.55,-.54,-.41,-.35,-0.46583333333333327
1910,-0.43,-0.42,-0.47,-.38,-.33,-.36,-.31,-.34,-.36,-.38,-.55,-.68,-.42,-.41,-.46,-.40,-.34,-.43,-0.4174999999999999
1911,-0.62,-0.59,-0.61,-.55,-.50,-.45,-.40,-.42,-.37,-.25,-.19,-.24,-.43,-.47,-.63,-.55,-.42,-.27,-0.4325000000000001
1912,-0.26,-0.13,-0.37,-.19,-.19,-.25,-.41,-.52,-.47,-.55,-.37,-.42,-.34,-.33,-.21,-.25,-.39,-.47,-0.3441666666666667
1913,-0.42,-0.43,-0.43,-.37,-.45,-.46,-.35,-.34,-.34,-.34,-.18,-.04,-.35,-.38,-.42,-.41,-.38,-.29,-0.34583333333333327
1914,0.02,-0.13,-0.22,-.27,-.20,-.23,-.24,-.14,-.13,-.05,-.21,-.09,-.16,-.15,-.05,-.23,-.21,-.13,-0.1575
1915,-0.18,0.0,-0.1,.08,-.01,-.15,-.03,-.15,-.13,-.22,-.13,-.24,-.10,-.09,-.09,-.01,-.11,-.16,-0.105
1916,-0.17,-0.21,-0.31,-.24,-.26,-.43,-.34,-.26,-.28,-.27,-.40,-.77,-.33,-.29,-.21,-.27,-.34,-.32,-0.3283333333333333
1917,-0.46,-0.52,-0.46,-.37,-.48,-.40,-.22,-.25,-.17,-.35,-.26,-.71,-.39,-.39,-.58,-.43,-.29,-.26,-0.3875
1918,-0.42,-0.29,-0.18,-.38,-.36,-.27,-.20,-.25,-.13,-.03,-.15,-.29,-.24,-.28,-.48,-.31,-.24,-.10,-0.24583333333333332
1919,-0.2,-0.19,-0.23,-.16,-.19,-.26,-.19,-.18,-.16,-.15,-.28,-.34,-.21,-.21,-.23,-.19,-.21,-.20,-0.2108333333333333
1920,-0.14,-0.21,-0.06,-.25,-.24,-.31,-.30,-.27,-.19,-.28,-.32,-.46,-.25,-.24,-.23,-.18,-.30,-.26,-0.2525
1921,-0.03,-0.2,-0.26,-.35,-.35,-.30,-.14,-.23,-.16,-.05,-.15,-.17,-.20,-.22,-.23,-.32,-.22,-.12,-0.19916666666666663
1922,-0.33,-0.42,-0.11,-.20,-.33,-.31,-.25,-.29,-.27,-.32,-.15,-.16,-.26,-.26,-.31,-.21,-.28,-.25,-0.26166666666666666
1923,-0.25,-0.35,-0.31,-.36,-.32,-.22,-.27,-.28,-.26,-.11,.05,-.04,-.23,-.24,-.26,-.33,-.26,-.11,-0.22666666666666668
1924,-0.23,-0.26,-0.11,-.34,-.18,-.26,-.25,-.34,-.29,-.35,-.21,-.41,-.27,-.24,-.18,-.21,-.29,-.28,-0.26916666666666667
1925,-0.32,-0.33,-0.21,-.24,-.28,-.32,-.28,-.17,-.12,-.16,.05,.11,-.19,-.23,-.35,-.24,-.26,-.08,-0.18916666666666673
1926,0.21,0.09,0.13,-.13,-.23,-.24,-.20,-.10,-.10,-.11,-.05,-.30,-.09,-.05,.14,-.08,-.18,-.09,-0.08583333333333333
1927,-0.28,-0.2,-0.37,-.29,-.24,-.26,-.13,-.18,-.05,-.01,-.03,-.35,-.20,-.19,-.26,-.30,-.19,-.03,-0.19916666666666663
1928,-0.02,-0.11,-0.27,-.27,-.29,-.40,-.20,-.24,-.19,-.18,-.09,-.20,-.21,-.22,-.16,-.28,-.28,-.15,-0.205
1929,-0.47,-0.59,-0.32,-.40,-.38,-.43,-.32,-.28,-.23,-.14,-.14,-.54,-.35,-.32,-.42,-.37,-.34,-.17,-0.35333333333333333
1930,-0.29,-0.24,-0.08,-.25,-.24,-.18,-.16,-.10,-.10,-.08,.14,-.08,-.14,-.18,-.36,-.19,-.14,-.01,-0.13833333333333334
1931,-0.1,-0.21,-0.05,-.21,-.21,-.05,.01,-.01,-.06,.00,-.12,-.10,-.09,-.09,-.13,-.16,-.02,-.06,-0.09249999999999999
1932,0.14,-0.17,-0.19,-.07,-.21,-.29,-.23,-.23,-.11,-.09,-.26,-.22,-.16,-.15,-.04,-.16,-.25,-.15,-0.16083333333333336
1933,-0.34,-0.32,-0.28,-.23,-.25,-.32,-.19,-.22,-.26,-.23,-.31,-.47,-.29,-.26,-.29,-.25,-.24,-.27,-0.285
1934,-0.26,-0.04,-0.3,-.26,-.10,-.13,-.10,-.09,-.14,-.10,.00,-.08,-.13,-.17,-.26,-.22,-.10,-.08,-0.13333333333333333
1935,-0.36,0.13,-0.12,-.34,-.25,-.21,-.18,-.16,-.16,-.08,-.28,-.21,-.19,-.17,-.10,-.24,-.19,-.17,-0.18499999999999997
1936,-0.28,-0.38,-0.22,-.20,-.16,-.18,-.05,-.11,-.05,-.03,-.04,-.03,-.14,-.16,-.29,-.19,-.11,-.04,-0.1441666666666667
1937,-0.1,0.07,-0.16,-.17,-.06,-.07,-.04,.04,.15,.10,.10,-.11,-.02,-.01,-.02,-.13,-.02,.12,-0.02083333333333334
1938,0.0,-0.03,0.06,.05,-.07,-.17,-.08,-.04,.04,.11,.02,-.25,-.03,-.02,-.05,.01,-.09,.06,-0.03
1939,-0.12,-0.11,-0.19,-.11,-.06,-.07,-.05,-.04,.01,-.03,.06,.40,-.03,-.08,-.16,-.12,-.05,.01,-0.025833333333333347
1940,-0.15,0.06,0.12,.16,.06,.05,.11,.01,.12,.08,.13,.19,.08,.10,.10,.11,.06,.11,0.07833333333333332
1941,0.13,0.23,0.06,.11,.10,.05,.15,.14,.02,.25,.12,.14,.13,.13,.19,.09,.11,.13,0.12500000000000003
1942,0.26,0.05,0.13,.14,.14,.11,.02,-.03,.00,.07,.13,.12,.09,.10,.15,.14,.03,.06,0.09500000000000001
1943,0.0,0.22,0.02,.13,.10,.00,.14,.03,.11,.30,.25,.29,.13,.12,.11,.08,.06,.22,0.1325
1944,0.41,0.31,0.34,.27,.27,.23,.23,.23,.32,.27,.12,.05,.25,.27,.34,.29,.23,.24,0.25416666666666665
1945,0.13,0.02,0.11,.24,.10,.03,.07,.25,.22,.22,.10,-.09,.12,.13,.07,.15,.12,.18,0.11666666666666665
1946,0.15,0.06,0.0,.11,-.03,-.16,-.09,-.08,-.02,-.06,-.02,-.29,-.04,-.02,.04,.02,-.11,-.03,-0.03583333333333333
1947,-0.13,-0.08,0.05,.04,-.06,.00,-.06,-.08,-.14,.06,-.01,-.18,-.05,-.06,-.16,.01,-.05,-.03,-0.04916666666666667
1948,0.05,-0.13,-0.23,-.09,.08,-.05,-.13,-.10,-.10,-.07,-.08,-.23,-.09,-.09,-.09,-.08,-.09,-.08,-0.09000000000000001
1949,0.09,-0.16,-0.01,-.08,-.09,-.22,-.13,-.08,-.08,-.03,-.08,-.19,-.09,-.09,-.10,-.06,-.14,-.06,-0.08833333333333332
1950,-0.3,-0.26,-0.06,-.21,-.12,-.06,-.09,-.17,-.10,-.20,-.35,-.20,-.18,-.18,-.25,-.13,-.11,-.22,-0.17666666666666667
1951,-0.35,-0.44,-0.19,-.10,-.02,-.05,.00,.05,.07,.06,.00,.15,-.07,-.10,-.33,-.10,.00,.04,-0.06833333333333333
1952,0.16,0.13,-0.09,.02,-.05,-.04,.05,.07,.08,-.04,-.17,-.01,.01,.02,.15,-.04,.03,-.04,0.009166666666666674
1953,0.09,0.16,0.11,.20,.09,.08,.03,.08,.06,.05,-.05,.04,.08,.07,.08,.13,.06,.02,0.07833333333333332
1954,-0.28,-0.1,-0.12,-.18,-.19,-.15,-.16,-.13,-.07,-.01,.08,-.18,-.12,-.11,-.12,-.16,-.15,.00,-0.12416666666666663
1955,0.11,-0.21,-0.36,-.23,-.20,-.07,-.09,.04,-.12,-.05,-.28,-.32,-.15,-.14,-.09,-.26,-.04,-.15,-0.14833333333333334
1956,-0.16,-0.25,-0.23,-.26,-.28,-.15,-.11,-.25,-.21,-.24,-.17,-.10,-.20,-.22,-.25,-.26,-.17,-.21,-0.20083333333333334
1957,-0.14,-0.05,-0.05,-.03,.08,.16,.01,.14,.06,.01,.07,.16,.04,.01,-.10,.00,.11,.05,0.035
1958,0.39,0.24,0.1,.01,.08,-.05,.06,-.06,-.03,.04,.02,.01,.07,.08,.27,.06,-.02,.01,0.06749999999999999
1959,0.06,0.1,0.19,.17,.06,.02,.06,-.01,-.06,-.09,-.09,-.03,.03,.04,.06,.14,.02,-.08,0.031666666666666676
1960,-0.01,0.14,-0.36,-.16,-.08,.01,-.02,.00,.05,.07,-.12,.18,-.03,-.04,.03,-.20,.00,.00,-0.025000000000000005
1961,0.07,0.18,0.09,.15,.13,.12,-.03,.02,.05,.00,.03,-.15,.05,.08,.14,.12,.04,.03,0.055
