;intézmény megyéje;intézmény városa;vizsgázó évfolyama;vizsgázó képzési típusa;vizsgázó neme;vizsgázó képzési munkarendje;vizsgatárgy neve;vizsga szintje;vizsga fajtája;vizsgamentesség;vizsga nyelve;érdemjegy;össz százalék;össz pontszám;vizsgázó részvétele;I. feleletválasztós kérdéssor;II. esszé: tartalom;II. esszé:  kifejtés módja;III. összetett feladatok;írásbeli pontszám;mérés és tételkifejtés: tartalmi helyesség;mérés és tételkifejtés: felépítés, kifejtés;szóbeli pontszám;év;szint;időszak;egy téma kifejtése kísérlettel vagy méréssel: tartalom;egy téma kifejtése kísérlettel vagy méréssel: felépítés, kifejtés;II. összetett feladatok
0;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;1.0;26.0;40.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
1;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;1.0;19.0;29.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
2;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;97.0;146.0;megjelent;38.0;;;;86.0;;;60.0;2013;K;tavasz;55.0;5.0;48.0
3;Budapest;Budapest;13.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;3.0;40.0;61.0;megjelent;14.0;;;;23.0;;;38.0;2013;K;tavasz;36.0;2.0;9.0
4;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;84.0;126.0;megjelent;24.0;;;;66.0;;;60.0;2013;K;tavasz;55.0;5.0;42.0
5;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;93.0;140.0;megjelent;34.0;;;;80.0;;;60.0;2013;K;tavasz;55.0;5.0;46.0
6;Budapest;Budapest;13.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;90.0;136.0;megjelent;32.0;;;;76.0;;;60.0;2013;K;tavasz;55.0;5.0;44.0
7;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;95.0;143.0;megjelent;34.0;;;;84.0;;;59.0;2013;K;tavasz;55.0;4.0;50.0
8;Budapest;Budapest;13.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;82.0;124.0;megjelent;22.0;;;;64.0;;;60.0;2013;K;tavasz;55.0;5.0;42.0
9;Budapest;Budapest;2.0;-;nõ;nappali;fizika;közép;kiegészítõ;-;magyar;4.0;77.0;116.0;megjelent;28.0;;;;59.0;;;57.0;2013;K;tavasz;52.0;5.0;31.0
10;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;86.0;130.0;megjelent;26.0;;;;70.0;;;60.0;2013;K;tavasz;55.0;5.0;44.0
11;Budapest;Budapest;12.0;szakközép;férfi;nappali;fizika;közép;rendes;-;magyar;2.0;30.0;46.0;megjelent;16.0;;;;18.0;;;28.0;2013;K;tavasz;26.0;2.0;2.0
12;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;82.0;123.0;megjelent;22.0;;;;63.0;;;60.0;2013;K;tavasz;55.0;5.0;41.0
13;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;80.0;121.0;megjelent;28.0;;;;63.0;;;58.0;2013;K;tavasz;53.0;5.0;35.0
14;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;63.0;95.0;megjelent;16.0;;;;56.0;;;39.0;2013;K;tavasz;36.0;3.0;40.0
15;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;1.0;35.0;53.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
